slang,formal,context,category1,category2,category3
woww,wow,wow,elongasi,0,0
aminn,amin,"Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn @tulusm",elongasi,0,0
met,selamat,Met hari netaas kak!? Wish you all the best @tulusm,abreviasi,0,0
netaas,menetas,Met hari netaas kak!? Wish you all the best @tulusm,afiksasi,elongasi,0
keberpa,keberapa,Birthday yg keberpa kak?,abreviasi,0,0
eeeehhhh,eh,Eh ada @ghessawarsana . Eeeehhhh,elongasi,0,0
kata2nyaaa,kata-katanya,Kata2nyaaa ?,reduplikasi,elongasi,0
hallo,halo,Hallo kakak tulus,elongasi,0,0
kaka,kakak,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,0,0
ka,kak,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,0,0
daah,dah,Senyumnya bikin aku meleleh daah?? @tulusm,elongasi,0,0
aaaaahhhh,ah,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",elongasi,0,0
yaa,ya,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",elongasi,0,0
smga,semoga,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",abreviasi,0,0
slalu,selalu,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",zeroisasi,0,0
amiin,amin,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",elongasi,0,0
kk,kakak,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,0,0
trus,terus,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,zeroisasi,0,0
kk,kakak,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,0,0
sii,sih,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,elongasi,0
nyenengin,menyenangkan,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,0,0
bgt,banget,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
gemess,gemas,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,modifikasi vokal,0,0
akuuu,aku,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,0,0
jgn,jangan,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
yaa,ya,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,0,0
udah,sudah,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,0,0
