,usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder,tweets_norm,tweet_replies_norm
0,JogjaUpdate,tukang sayur lagi ngeslah tossanya,9/27/19 12:39,nvyntieno,Wayahe turu min,9/27/19 13:00,"['tukang', 'sayur', 'lagi', 'ngeslah', 'tossanya']","['wayahe', 'turu', 'min']"
1,RyzkaSihite,Kamu terlalu dewasa buat ku :(,9/29/19 16:50,Iman221089,"Bilang aja ""lu terlalu tua bang""",9/30/19 3:25,"['kamu', 'terlalu', 'dewasa', 'buat', 'ku']","['bilang', 'saja', 'lu', 'terlalu', 'tua', 'bang']"
2,eriskasfna,"""Mama gamau nanyain aku ikut demo apa gak gitu?"" , ""Kamu pasti pinter. Nggak mungkin mau ikut demo yang bisa bikin celaka"". (Maksudnya, aku pasti tau apa yang harus aku lakuin, sekalipun aku ikut demo, pasti aku bakal ikut demo yang sebagaimana mestinya, bukan yang rusuh.)",9/25/19 12:02,eriskasfna,"ya, mama always trust me so well. tapi, aku masih mau disuapin mama kalo pulang, walaupun mama selalu jawab, ""suapin pake kaki ya?""",9/25/19 12:02,"['mama', 'enggak mau', 'nanyain', 'aku', 'ikut', 'demo', 'apa', 'enggak', 'begitu', 'kamu', 'pasti', 'pintar', 'enggak', 'mungkin', 'mau', 'ikut', 'demo', 'yang', 'bisa', 'bikin', 'celaka', 'maksudnya', 'aku', 'pasti', 'tau', 'apa', 'yang', 'harus', 'aku', 'lakuin', 'sekalipun', 'aku', 'ikut', 'demo', 'pasti', 'aku', 'bakal', 'ikut', 'demo', 'yang', 'sebagaimana', 'mestinya', 'bukan', 'yang', 'rusuh']","['ya', 'mama', 'always', 'trust', 'me', 'so', 'well', 'tapi', 'aku', 'masih', 'mau', 'disuapin', 'mama', 'kalo', 'pulang', 'walaupun', 'mama', 'selalu', 'jawab', 'suapin', 'pakai', 'kaki', 'ya']"
3,dhinarnirmala_,Liat video2 aksi kemarin masi aja merinding,9/23/19 14:41,saifuljefri1705,koe ga Melu din,9/23/19 15:45,"['lihat', 'video2', 'aksi', 'kemarin', 'masih', 'saja', 'merinding']","['koe', 'enggak', 'melu', 'din']"
4,pamungkas_yudhy,"Bukan di usg itu, kusus lucitaluna klo hamil di rontgen.",9/19/19 16:42,anes_aulia,Ya allah ,9/19/19 17:29,"['bukan', 'di', 'usg', 'itu', 'kusus', 'lucitaluna', 'kalo', 'hamil', 'di', 'rontgen']","['ya', 'allah']"
5,berdiribebas,Semoga PEMERINTAH bisa membuatkan jembatan alternatif :),9/15/19 16:46,shawnut_,enakan gini. nyebrang sekalian main wahana refreshing,9/13/19 0:48,"['semoga', 'pemerintah', 'bisa', 'membuatkan', 'jembatan', 'alternatif']","['enakan', 'begini', 'nyebrang', 'sekalian', 'main', 'wahana', 'refreshing']"
6,RyzkaSihite,"Semakin dewasa semakin ngerasa : _ñKok gue gini gini aja ya, kayak nya ga guna. Heran banget_",9/13/19 16:46,Asdkamaruddien,"""aamiin""",9/13/19 22:32,"['semakin', 'dewasa', 'semakin', 'merasa', 'kok', 'gue', 'begini', 'begini', 'saja', 'ya', 'kayak', 'nya', 'enggak', 'guna', 'heran', 'banget']",['amin']
7,XyzxxfDPmahaOke,"Urip cen kadang sok lucu ngene, yo pie ya. Aku nek mbok bandingke karo uripmu  yo jelas kalah jauh noo nek babagan materi. Koe mono ijeh di ragati wong tuamu.pak buk langsung metu. La aku? Nek ra tak rewangi pepanas ngalor-ngidul yo ra iso jajan tenan e. Ngono we ijeh nyacati aku.",9/11/19 12:09,annascahyow1,Haalaah terapi ndene,9/8/19 17:02,"['urip', 'cen', 'kadang', 'sok', 'lucu', 'ngene', 'yo', 'pie', 'ya', 'aku', 'nek', 'mbok', 'bandingke', 'karo', 'uripmu', 'yo', 'jelas', 'kalah', 'jauh', 'noo', 'nek', 'babagan', 'materi', 'koe', 'mono', 'ijeh', 'di', 'ragati', 'wong', 'tuamu', 'pak', 'buk', 'langsung', 'metu', 'lah', 'aku', 'nek', 'ra', 'tak', 'rewangi', 'pepanas', 'ngalor', 'ngidul', 'yo', 'ra', 'iso', 'jajan', 'tenan', 'e', 'ngono', 'we', 'ijeh', 'nyacati', 'aku']","['haalaah', 'terapi', 'ndene']"
8,PeterPascaRilo,"Cinta ada sejak jutaan tahun yang lalu, bahkan sejak adam dan hawa diciptakan. Cinta adalah energi yang purba, tetapi cinta selama ribuan tahun ini dijadikan alat dagang. Pertanyaannya, masih kah kau memujanya? Celakalah,",9/9/19 15:39,_dah_yak,"Celakalah, bagi orang-orang yang (lalai) shalat.",9/9/19 17:04,"['cinta', 'ada', 'sejak', 'jutaan', 'tahun', 'yang', 'lalu', 'bahkan', 'sejak', 'adam', 'dan', 'hawa', 'diciptakan', 'cinta', 'adalah', 'energi', 'yang', 'purba', 'tetapi', 'cinta', 'selama', 'ribuan', 'tahun', 'ini', 'dijadikan', 'alat', 'dagang', 'pertanyaannya', 'masih', 'kah', 'kau', 'memujanya', 'celakalah']","['celakalah', 'bagi', 'orang', 'orang', 'yang', 'lalai', 'shalat']"
9,JK_Syahruzah,"Agus...agus, yang banyak ga bayar pajak itu horang kayah gus heuheu... Sampai-sampai dikasih amnesti segala, heuheu",9/7/19 16:50,bapakmu_mana,"Sama kayak anak NTT pedalaman kemarin, JKT = kandang babi. Si Agus ini belom TW aja banyak perusahaan ngumpetin kantornya di perumahan , banyak lagi sih metode penggelapan pajak ini",9/7/19 23:01,"['agus', 'agus', 'yang', 'banyak', 'enggak', 'bayar', 'pajak', 'itu', 'horang', 'kayah', 'gus', 'heuheu', 'sampai', 'sampai', 'dikasih', 'amnesti', 'segala', 'heuheu']","['sama', 'kayak', 'anak', 'ntt', 'pedalaman', 'kemarin', 'jakarta', 'kandang', 'babi', 'si', 'agus', 'ini', 'belom', 'tau', 'saja', 'banyak', 'perusahaan', 'ngumpetin', 'kantornya', 'di', 'perumahan', 'banyak', 'lagi', 'sih', 'metode', 'penggelapan', 'pajak', 'ini']"
10,ulinmaghfiroh,"Nek dosambat rangerti wayah , aku ki yo butuh turu barang je. Esuk awan sore bengi kok meng dadi penasehat wong cidro , nek bayaran ngono :(",9/5/19 16:22,Khsnh_,Halah,9/2/19 17:15,"['nek', 'dosambat', 'rangerti', 'wayah', 'aku', 'ki', 'yo', 'butuh', 'turu', 'barang', 'je', 'esuk', 'awan', 'sore', 'bengi', 'kok', 'meng', 'dadi', 'penasehat', 'wong', 'cidro', 'nek', 'bayaran', 'ngono']",['halah']
11,radisna,"Dulu kalo dapet pacar yg baik dan orang lain liatnya sayang banget selalu dibilang jangan sia-sia in. Tapi ya, namanya manusia haha gabisa meleng dikit pasti bablas. Selama masih mau ya, segala kemelengan yg pernah terjadi dapat dimaafkan. Tapi kalo udah gamau ya wes putus gtu :)",9/3/19 13:24,abheizthe,terus kamu punya pacar apa eendak jadinya?,8/31/19 17:28,"['dulu', 'kalo', 'dapat', 'pacar', 'yang', 'baik', 'dan', 'orang', 'lain', 'lihatnya', 'sayang', 'banget', 'selalu', 'dibilang', 'jangan', 'sia', 'sia', 'in', 'tapi', 'ya', 'namanya', 'manusia', 'haha', 'enggak bisa', 'meleng', 'dikit', 'pasti', 'bablas', 'selama', 'masih', 'mau', 'ya', 'segala', 'kemelengan', 'yang', 'pernah', 'terjadi', 'dapat', 'dimaafkan', 'tapi', 'kalo', 'sudah', 'enggak mau', 'ya', 'wes', 'putus', 'begitu']","['terus', 'kamu', 'punya', 'pacar', 'apa', 'eendak', 'jadinya']"
12,RINDANNGGG,Rajin pake exfo toner yg mengandung AHA/BHA paling engga seminggu 2x. Aku pake produk cosrx yg AHA 7 lumayan ngempesin tp emg ga bisa ilang total nder. Klo mau ilang beneran dilaser katanya,9/1/19 14:55,RINDANNGGG,Oya sama rajin double cleansing,9/1/19 14:56,"['rajin', 'pakai', 'exfo', 'toner', 'yang', 'mengandung', 'aha', 'bha', 'paling', 'enggak', 'seminggu', '2x', 'aku', 'pakai', 'produk', 'cosrx', 'yang', 'aha', '7', 'lumayan', 'ngempesin', 'tapi', 'memang', 'enggak', 'bisa', 'hilang', 'total', 'nder', 'kalo', 'mau', 'hilang', 'benaran', 'dilaser', 'katanya']","['oya', 'sama', 'rajin', 'double', 'cleansing']"
